Name,Group,Description,Power,Amount,Manufacturer,Buying Price,Selling Price,Stock quantity,Requires prescription,Active
Nexum,Esomeprazole,Gastric hyperacidity and ulcer relief.,20mg,1 strip x 10 capsules,Beximco Pharmaceuticals Ltd.,56,70,964, [], [✅]
Finix,Rabeprazole,Proton pump inhibitor for rapid acid suppression.,20mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,60,70,959, [], [✅]
Alacen,Alimemazine,Antihistamine for allergic rhinitis and itching.,5mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,25,30,1056, [], [✅]
Fexo,Fexofenadine HCl,Non-sedating antihistamine for seasonal allergies.,120mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,68,80,1068, [], [✅]
Fexo,Fexofenadine HCl,High strength antihistamine for chronic urticaria.,180mg,1 strip x 10 tablets,Renata Limited,92,110,1016, [], [✅]
Telfast,Fexofenadine HCl,Premium non-drowsy allergy relief.,120mg,1 strip x 10 tablets,Aci Limited,80,100,690, [], [✅]
Alatrol,Cetirizine Dihydrochloride,Effective daily allergy and cold relief.,10mg,1 strip x 15 tablets,Eskayef Pharmaceuticals Ltd.,38,45,1207, [], [✅]
Histacin,Chlorpheniramine Maleate,Classic antihistamine for allergic reactions.,4mg,1 strip x 10 tablets,Aristopharma Ltd.,4,5,707, [], [✅]
Monas,Montelukast,Leukotriene receptor antagonist for asthma management.,10mg,1 strip x 10 tablets,Drug International Ltd.,130,150,514, [✅], [✅]
Monas,Montelukast,Pediatric chewable asthma control tablet.,5mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,70,80,438, [✅], [✅]
Provair,Montelukast,Prophylaxis and chronic treatment of asthma.,10mg,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,125,150,585, [✅], [✅]
Azmasol,Salbutamol,Bronchodilator MDI inhaler for asthma rescue.,100mcg/puff,1 Canister x 200 puffs,Beacon Pharmaceuticals PLC,190,220,319, [✅], [✅]
Windel,Salbutamol,Bronchodilator tablet for respiratory relief.,4mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,8,10,343, [✅], [✅]
Zimax,Azithromycin,Broad-spectrum macrolide antibiotic.,500mg,1 strip x 3 tablets,Beximco Pharmaceuticals Ltd.,95,105,966, [✅], [✅]
Azithrocin,Azithromycin,Antibiotic for bacterial respiratory infections.,500mg,1 strip x 3 tablets,Square Pharmaceuticals PLC,96,105,1279, [✅], [✅]
Fixim,Cefixime,Third-generation cephalosporin antibiotic.,400mg,1 strip x 7 capsules,Incepta Pharmaceuticals Ltd.,280,315,1119, [✅], [✅]
Cef-3,Cefixime,Potent antibiotic for urinary and ENT infections.,400mg,1 strip x 7 capsules,Opsonin Pharma Ltd.,285,315,1212, [✅], [✅]
Cefutil,Cefuroxime Axetil,Second-generation cephalosporin antibiotic.,500mg,1 strip x 8 tablets,Renata Limited,360,400,1283, [✅], [✅]
Cerox,Cefuroxime Axetil,Broad antibiotic coverage for systemic infections.,500mg,1 strip x 8 tablets,Aci Limited,362,400,1208, [✅], [✅]
Fluclox,Flucloxacillin,Penicillinase-resistant antibiotic for skin infections.,500mg,1 strip x 10 capsules,Eskayef Pharmaceuticals Ltd.,90,110,514, [✅], [✅]
Phylopen,Flucloxacillin,Antibiotic targeting staphylococcal skin infections.,500mg,1 strip x 10 capsules,Aristopharma Ltd.,92,110,537, [✅], [✅]
Moxacil,Amoxicillin,Broad-spectrum penicillin antibiotic.,500mg,1 strip x 10 capsules,Drug International Ltd.,60,70,607, [✅], [✅]
Flemoxin,Amoxicillin,Antibiotic for standard bacterial infections.,500mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,62,72,1043, [✅], [✅]
Ciprocin,Ciprofloxacin,Fluoroquinolone antibiotic for GI and UT infections.,500mg,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,130,150,1205, [✅], [✅]
Neofloxin,Ciprofloxacin,Potent broad-spectrum fluoroquinolone antibiotic.,500mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,128,150,905, [✅], [✅]
Levoflox,Levofloxacin,Advanced respiratory and urinary antibiotic.,500mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,100,120,1104, [✅], [✅]
Avelox,Moxifloxacin,Fluoroquinolone for complex respiratory tract infections.,400mg,1 strip x 5 tablets,Beximco Pharmaceuticals Ltd.,200,230,555, [✅], [✅]
Bizoran,Amlodipine + Olmesartan,Combination antihypertensive for high BP control.,5mg/20mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,100,120,759, [✅], [✅]
Camlodin,Amlodipine Besilate,Calcium channel blocker for hypertension.,5mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,42,50,1119, [✅], [✅]
Amocal,Amlodipine,Blood pressure lowering medication.,5mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,40,50,1278, [✅], [✅]
Angilock,Losartan Potassium,Angiotensin II receptor antagonist for hypertension.,50mg,1 strip x 10 tablets,Renata Limited,68,80,615, [✅], [✅]
Angilock Plus,Losartan + Hydrochlorothiazide,Combined antihypertensive and diuretic.,50mg/12.5mg,1 strip x 10 tablets,Aci Limited,85,100,698, [✅], [✅]
Osart,Losartan Potassium,Cardioprotective hypertension management.,50mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,70,80,1155, [✅], [✅]
Concor,Bisoprolol Fumarate,Beta-blocker for hypertension and angina pectoris.,5mg,1 strip x 10 tablets,Aristopharma Ltd.,85,100,1059, [✅], [✅]
Concor,Bisoprolol Fumarate,Low dose beta-blocker for stable heart failure.,2.5mg,1 strip x 10 tablets,Drug International Ltd.,52,60,831, [✅], [✅]
Bisoprol,Bisoprolol Fumarate,Management of high blood pressure and ischemic heart disease.,5mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,65,75,599, [✅], [✅]
Cardizen,Diltiazem HCl,Calcium channel blocker for chronic stable angina.,60mg,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,40,48,1478, [✅], [✅]
Lipigel,Atorvastatin,Statins for lowering cholesterol and lipid control.,10mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,102,120,1107, [✅], [✅]
Atova,Atorvastatin,Lipid-lowering agent to prevent cardiovascular risk.,20mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,155,180,1107, [✅], [✅]
Rovista,Rosuvastatin,Potent statin for advanced cardiovascular protection.,10mg,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,128,150,469, [✅], [✅]
Rovista,Rosuvastatin,High efficacy lipid-regulating agent.,5mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,72,85,482, [✅], [✅]
Ecosprin,Aspirin,Anti-platelet aggregator to prevent cardiac thrombus.,75mg,1 strip x 14 tablets,Incepta Pharmaceuticals Ltd.,10,14,692, [✅], [✅]
Atrin,Aspirin (Enteric Coated),Gastro-resistant anti-platelet formulation.,75mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,8,10,1335, [✅], [✅]
Clopilet,Clopidogrel,Anti-thrombotic therapy post myocardial infarction.,75mg,1 strip x 10 tablets,Renata Limited,102,120,648, [✅], [✅]
Anclog,Clopidogrel,Platelet aggregation inhibitor.,75mg,1 strip x 10 tablets,Aci Limited,100,120,1063, [✅], [✅]
Gliben,Glibenclamide,Sulfonylurea anti-diabetic agent.,5mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,12,15,658, [✅], [✅]
Comet,Metformin Hydrochloride,Biguanide oral hypoglycemic for Type 2 diabetes.,500mg,1 strip x 10 tablets,Aristopharma Ltd.,21,25,353, [✅], [✅]
Comet XR,Metformin Hydrochloride,Extended release metformin for glycemic control.,850mg,1 strip x 10 tablets,Drug International Ltd.,38,45,533, [✅], [✅]
Secrin,Glimepiride,Third generation sulfonylurea for type 2 diabetes.,2mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,68,80,500, [✅], [✅]
Secrin,Glimepiride,Long-acting blood glucose regulator.,1mg,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,42,50,971, [✅], [✅]
Dianil,Gliclazide,Oral hypoglycemic agent minimizing beta cell fatigue.,80mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,48,55,533, [✅], [✅]
Garnil,Linagliptin,DPP-4 inhibitor for type-2 diabetes mellitus.,5mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,190,220,807, [✅], [✅]
Linaglip,Linagliptin,Highly selective DPP-4 enzyme inhibitor.,5mg,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,185,220,339, [✅], [✅]
Jardiance,Empagliflozin,SGLT2 inhibitor providing cardio-renal safety.,10mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,260,300,1060, [✅], [✅]
Imotil,Loperamide HCl,Antidiarrheal agent to decrease intestinal motility.,2mg,1 strip x 10 capsules,Incepta Pharmaceuticals Ltd.,12,15,1255, [], [✅]
Entydue,Nitazoxanide,Antiprotozoal agent for infectious diarrhea.,500mg,1 strip x 6 tablets,Opsonin Pharma Ltd.,90,108,1477, [✅], [✅]
Filmet,Metronidazole,Amoebicide and anti-protozoal medication.,400mg,1 strip x 10 tablets,Renata Limited,18,22,675, [✅], [✅]
Flamyd,Metronidazole,Anti-anaerobic bacterial and protozoal drug.,400mg,1 strip x 10 tablets,Aci Limited,17,22,470, [✅], [✅]
Xenobid,Naproxen,NSAID for musculoskeletal pain and arthritis.,500mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,68,80,515, [✅], [✅]
Anaprox,Naproxen Sodium,Rapidly absorbed anti-inflammatory analgesic.,550mg,1 strip x 10 tablets,Aristopharma Ltd.,86,100,1259, [✅], [✅]
Flamax,Flurbiprofen,NSAID for acute perioperative and ocular pain.,100mg,1 strip x 10 tablets,Drug International Ltd.,50,60,618, [✅], [✅]
Voltalin,Diclofenac Sodium,Potent systemic analgesic and anti-arthritic.,50mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,22,28,592, [✅], [✅]
Clofenac,Diclofenac Sodium,NSAID for severe rheumatic and chronic pain.,50mg,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,20,26,1374, [✅], [✅]
Aceclor,Aceclofenac,Selective cox-inhibitor targeting joint inflammation.,100mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,38,45,659, [✅], [✅]
Flexi,Aceclofenac,Anti-inflammatory for osteoarthritis and RA.,100mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,37,45,1430, [✅], [✅]
Etoricox,Etoricoxib,Selective COX-2 inhibitor for acute gouty pain.,90mg,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,95,110,611, [✅], [✅]
Ecox,Etoricoxib,Targeted anti-inflammatory for bone and joint pain.,120mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,110,130,1457, [✅], [✅]
Calbo,Calcium Carbonate,Calcium supplement for bone health.,500mg,1 strip x 15 tablets,Incepta Pharmaceuticals Ltd.,75,90,1408, [], [✅]
Calbo-D,Calcium + Vitamin D3,Essential mineral combination for bone density.,500mg/200IU,1 strip x 15 tablets,Opsonin Pharma Ltd.,105,120,1099, [], [✅]
Ostocal D,Calcium + Vitamin D3,Daily calcium management for osteoporosis.,500mg/200IU,1 strip x 15 tablets,Renata Limited,102,120,465, [], [✅]
D-Rise,Cholecalciferol (Vit. D3),High potency vitamin D3 for correction of deficiency.,40000IU,1 strip x 4 capsules,Aci Limited,135,160,520, [✅], [✅]
Surbex-T,Vitamin B-Complex + Vitamin C,High potency therapeutic B-complex with Vitamin C.,Standard,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,55,65,1363, [], [✅]
Beco-Zinc,Vitamin B-Complex + Zinc,Immune support and tissue regeneration supplement.,Standard,1 strip x 15 tablets,Aristopharma Ltd.,40,48,608, [], [✅]
Neuro-B,Vitamin B1 + B6 + B12,Combination for neuropathic pain and nerve health.,100mg/200mg/200mcg,1 strip x 10 tablets,Drug International Ltd.,72,90,1099, [], [✅]
Neo-B,Vitamin B1 + B6 + B12,Nerve optimization multivitamin compound.,100mg/200mg/200mcg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,75,90,487, [], [✅]
Aristovit M,Multivitamin & Multimineral,Comprehensive daily nutritional coverage.,A to Z,1 Bottle x 30 tablets,Popular Pharmaceuticals Ltd.,180,220,1038, [], [✅]
Xeldrin,Glucosamine + Chondroitin,Cartilage rebuilder for advanced osteoarthritis.,500mg/400mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,140,160,792, [], [✅]
Bextram Gold,Multivitamin & Multimineral,Premium therapeutic nutrition supplement.,A to Z,1 Bottle x 30 tablets,Healthcare Pharmaceuticals Ltd.,200,240,1179, [], [✅]
Feosol,Iron Carbonyl + Folic Acid,Hematinic therapy for iron deficiency anemia.,50mg/610mcg,1 strip x 10 capsules,Beximco Pharmaceuticals Ltd.,42,50,632, [], [✅]
Zif,Zinc Sulfate + Iron,Prenatal nutritional replacement capsule.,Standard,1 strip x 10 capsules,Square Pharmaceuticals PLC,30,35,1352, [], [✅]
Avomine,Promethazine Theoclate,Antiemetic for motion sickness and vertigo.,25mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,15,20,873, [], [✅]
Joytrip,Hyoscine Hydrobromide,Fast acting travel sickness preventative.,0.3mg,1 strip x 4 tablets,Opsonin Pharma Ltd.,12,16,1094, [], [✅]
Motigut,Domperidone,Prokinetic agent for treating nausea and dyspepsia.,10mg,1 strip x 10 tablets,Renata Limited,25,30,498, [], [✅]
Omidon,Domperidone,Anti-emetic and gastroprokinetic stimulant.,10mg,1 strip x 10 tablets,Aci Limited,24,30,958, [], [✅]
Ondasan,Ondansetron,Serotonin 5-HT3 antagonist for chemo/post-op nausea.,8mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,62,75,1456, [✅], [✅]
Emistat,Ondansetron,Anti-emetic for severe vomiting control.,8mg,1 strip x 10 tablets,Aristopharma Ltd.,64,75,502, [✅], [✅]
Vergon,Cinnarizine,Peripheral vasodilator and anti-vertigo medication.,25mg,1 strip x 10 tablets,Drug International Ltd.,18,22,326, [], [✅]
Cinaron,Cinnarizine,Cerebral circulatory disorder and labyrinthine treatment.,75mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,35,42,783, [], [✅]
Serc,Betahistine Dihydrochloride,Meniere's disease and inner ear pressure treatment.,16mg,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,95,110,343, [✅], [✅]
Betaserc,Betahistine Dihydrochloride,Premium vestibular system regulator.,8mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,60,70,908, [✅], [✅]
Sedil,Diazepam,"Benzodiazepine for anxiety, muscle spasm and seizures.",5mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,10,12,383, [✅], [✅]
Easium,Diazepam,Controlled tranquilizer for acute anxiety states.,5mg,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,11,13,1098, [✅], [✅]
Myolax,Tolperisone Hydrochloride,Centrally acting muscle relaxant without sedation.,50mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,40,48,835, [✅], [✅]
Flexibac,Baclofen,Muscle relaxant for severe muscle spasticity.,10mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,85,100,1421, [✅], [✅]
Bakloflex,Baclofen,GABA-derivative central muscle spasmolytic.,5mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,46,55,876, [✅], [✅]
Disopan,Bromazepam,Anxiolytic for psychoneurotic states.,3mg,1 strip x 10 tablets,Renata Limited,42,50,316, [✅], [✅]
Laxyl,Bromazepam,Symptomatic treatment of severe tension and anxiety.,3mg,1 strip x 10 tablets,Aci Limited,43,50,926, [✅], [✅]
Frisium,Clobazam,Adjunctive therapy in epilepsy and cluster seizures.,10mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,95,110,1056, [✅], [✅]
Cloba,Clobazam,Anticonvulsant and muscle relaxant properties.,10mg,1 strip x 10 tablets,Aristopharma Ltd.,80,95,1112, [✅], [✅]
Epilout,Sodium Valproate,Broad-spectrum antiepileptic drug.,200mg,1 strip x 10 tablets,Drug International Ltd.,75,90,1218, [✅], [✅]
Torax,Ketorolac Tromethamine,Potent systemic NSAID for short-term acute pain.,10mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,85,100,1238, [✅], [✅]
Rolac,Ketorolac Tromethamine,Injectable-strength oral NSAID for severe trauma pain.,10mg,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,86,100,1467, [✅], [✅]
Ketorol,Ketorolac Tromethamine,Management of moderate to severe post-surgical pain.,10mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,84,100,1276, [✅], [✅]
Tryptin,Amitriptyline HCl,Tricyclic antidepressant used also for neuropathic pain prophylaxis.,25mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,18,22,774, [✅], [✅]
Tryptin,Amitriptyline HCl,Low dose formulation for tension headaches and sleep promotion.,10mg,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,10,12,1011, [✅], [✅]
Prodep,Fluoxetine,SSRI for major depressive disorders and OCD.,20mg,1 strip x 10 capsules,Square Pharmaceuticals PLC,35,42,1130, [✅], [✅]
Seronil,Fluoxetine,Selective serotonin reuptake inhibitor.,20mg,1 strip x 10 capsules,Incepta Pharmaceuticals Ltd.,36,42,679, [✅], [✅]
Zoloft,Sertraline,Premium antidepressant for panic and social anxiety.,50mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,180,210,807, [✅], [✅]
Sertra,Sertraline,SSRI for long term emotional stabilizer therapy.,50mg,1 strip x 10 tablets,Renata Limited,105,120,1157, [✅], [✅]
Rivotril,Clonazepam,High potency benzodiazepine for panic attacks and epilepsy.,0.5mg,1 strip x 10 tablets,Aci Limited,62,72,969, [✅], [✅]
Rivotril,Clonazepam,Maximum dosage for refractory status epilepticus control.,2mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,105,120,1440, [✅], [✅]
Denixil,Clonazepam,Anxiolytic and panic disorder management tool.,0.5mg,1 strip x 10 tablets,Aristopharma Ltd.,50,60,1231, [✅], [✅]
Clon-A,Clonazepam,Anticonvulsant and sedation inducing agent.,0.5mg,1 strip x 10 tablets,Drug International Ltd.,48,60,1093, [✅], [✅]
Pase,Clonazepam,Central nervous system dampener for generalized anxiety.,1mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,72,85,662, [✅], [✅]
Zolam,Alprazolam,Short acting anxiolytic for situational panic disorder.,0.5mg,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,52,62,845, [✅], [✅]
Xanax,Alprazolam,High quality fast relief targeted benzodiazepine.,0.25mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,45,55,664, [✅], [✅]
Alprax,Alprazolam,Anxiety management and sleep initiation support.,0.5mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,50,62,396, [✅], [✅]
Hypnocum,Midazolam,Ultra-short acting benzodiazepine for pre-anesthesia sedation.,7.5mg,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,70,85,828, [✅], [✅]
Dormicum,Midazolam,Surgical grade procedural sedative tablet.,15mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,135,160,1480, [✅], [✅]
Imovane,Zopiclone,Non-benzodiazepine hypnotic for chronic insomnia.,7.5mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,85,100,589, [✅], [✅]
Zopilone,Zopiclone,Sleep induction aid reducing midnight awakenings.,7.5mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,75,90,716, [✅], [✅]
Solpidem,Zolpidem Tartrate,Sedative-hypnotic targeting sleep centers precisely.,10mg,1 strip x 10 tablets,Renata Limited,70,85,1317, [✅], [✅]
Zolpid,Zolpidem Tartrate,Short-term management of sleep latency issues.,5mg,1 strip x 10 tablets,Aci Limited,42,50,1489, [✅], [✅]
Gaviscon,Sodium Alginate + Magnesium Carbonate,Reflux barrier forming antacid suspension.,Standard,1 Bottle x 200ml,Eskayef Pharmaceuticals Ltd.,185,210,1278, [], [✅]
Entacyd,Aluminum Hydroxide + Magnesium Hydroxide,Classic chewable buffer antacid.,Standard,1 strip x 10 tablets,Aristopharma Ltd.,15,20,1138, [], [✅]
Flatameal DS,Simethicone + Antacid,Double strength antiflatulent and hyperacidity relief.,Standard,1 strip x 10 tablets,Drug International Ltd.,22,28,1153, [], [✅]
Mucogel,Oxetacaine + Antacid,Local anesthetic antacid for painful mucosal ulcers.,Standard,1 Bottle x 200ml,Radiant Pharmaceuticals Ltd.,115,135,708, [], [✅]
Avil,Pheniramine Maleate,Antihistamine for severe drug eruptions and hives.,25mg,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,16,20,796, [], [✅]
Phenergan,Promethazine HCl,Sedative antihistamine with strong anti-emetic actions.,10mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,12,15,536, [], [✅]
Tusca,Dextromethorphan + Guaiphenesin,Antitussive and expectorant for dry racking cough.,Standard,1 Bottle x 100ml,Healthcare Pharmaceuticals Ltd.,68,80,464, [], [✅]
Adryll,Diphenhydramine HCl,Sedative cough syrup for nighttime allergy relief.,Standard,1 Bottle x 100ml,Beximco Pharmaceuticals Ltd.,52,60,1469, [], [✅]
Brozedex,Bromhexine HCl + Menthol,Mucolytic cough syrup to liquify sticky sputum.,Standard,1 Bottle x 100ml,Square Pharmaceuticals PLC,58,70,807, [], [✅]
Mucosolvan,Ambroxol Hydrochloride,Systemic mucokinetic agent for productive airway disease.,30mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,40,50,1341, [], [✅]
Mirakof,Butamirate Citrate,Centrally acting non-opioid dry cough suppressant.,50mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,68,80,1211, [], [✅]
Torecan,Thiethylperazine,Central acting labyrinthine anti-emetic formulation.,6.5mg,1 strip x 10 tablets,Renata Limited,48,60,310, [✅], [✅]
Dulcolax,Bisacodyl,Contact stimulant laxative for acute constipation treatment.,5mg,1 strip x 10 tablets,Aci Limited,10,12,1417, [], [✅]
Clear,Sodium Picosulfate,Stimulant laxative acting directly on colon walls.,10mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,38,45,1438, [], [✅]
Avilax,Lactulose,Osmotic laxative also used in hepatic encephalopathy management.,Standard,1 Bottle x 200ml,Aristopharma Ltd.,170,200,449, [], [✅]
Osmolax,Lactulose,Gentle long-term pediatric and geriatric laxative solution.,Standard,1 Bottle x 100ml,Drug International Ltd.,95,115,1282, [], [✅]
Orsaline N,Oral Rehydration Salts (ORS),WHO formulation salt mix for hydration tracking.,Standard,1 Box x 20 Sachets,Radiant Pharmaceuticals Ltd.,100,120,1419, [], [✅]
SMC ORS Moni,Oral Rehydration Salts (Fruity),Electrolyte replenishment powder mix with taste optimization.,Standard,1 Box x 20 Sachets,Popular Pharmaceuticals Ltd.,110,130,1485, [], [✅]
Vermox,Mebendazole,Broad spectrum anthelmintic for pinworms and roundworms.,100mg,1 strip x 6 tablets,Beacon Pharmaceuticals PLC,25,32,1213, [], [✅]
Alben,Albendazole,Single dose anti-parasitic worm eradication compound.,400mg,1 strip x 2 tablets,Healthcare Pharmaceuticals Ltd.,16,20,1459, [], [✅]
Solas,Albendazole,Systemic single dose chewable anthelmintic.,400mg,1 strip x 1 tablet,Beximco Pharmaceuticals Ltd.,8,10,351, [], [✅]
Scabo,Ivermectin,Oral ectoparasiticide targeting scabies infestation.,6mg,1 strip x 4 tablets,Square Pharmaceuticals PLC,40,50,401, [✅], [✅]
Zantac,Ranitidine HCl,Histamine H2 receptor antagonist for baseline acid safety.,150mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,25,30,1171, [], [✅]
Neoceptin R,Ranitidine HCl,Alternative H2 blocker supporting critical gastric barriers.,150mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,24,30,979, [], [✅]
Famotack,Famotidine,High potency H2 antagonist with long acid control duration.,20mg,1 strip x 10 tablets,Renata Limited,35,42,1184, [], [✅]
Doxiva,Doxofylline,Xanthine bronchodilator for COPD with lower cardiac toxicity.,400mg,1 strip x 10 tablets,Aci Limited,72,85,979, [✅], [✅]
Pulmoxen,Doxofylline,Anti-asthmatic bronchodilator supporting airway optimization.,400mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,70,85,495, [✅], [✅]
Frisocough,Levodropropizine,Peripheral cough suppressant targeting airway nerves directly.,60mg,1 strip x 10 tablets,Aristopharma Ltd.,60,70,569, [], [✅]
Ketotif,Ketotifen Fumarate,Mast cell stabilizer preventing chronic pediatric asthma cycles.,1mg,1 strip x 10 tablets,Drug International Ltd.,22,28,1090, [], [✅]
Tofen,Ketotifen Fumarate,Prophylactic antihistamine for systemic allergy prevention.,1mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,20,28,1298, [], [✅]
Deriphyllin,Etofylline + Theophylline,Classic combination bronchodilator for emergency asthmatic states.,Standard,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,12,15,1222, [✅], [✅]
Thyrox,Levothyroxine Sodium,Thyroid hormone replacement therapy for hypothyroidism.,50mcg,1 Bottle x 100 tablets,Beacon Pharmaceuticals PLC,160,190,1054, [✅], [✅]
Thyrin,Levothyroxine Sodium,Synthetic T4 hormone compound for endocrine calibration.,25mcg,1 Bottle x 50 tablets,Healthcare Pharmaceuticals Ltd.,90,110,317, [✅], [✅]
